iter	Accuracy	MultiClass
0	0.4334375	1.548881256
1	0.44875	1.497752111
2	0.45203125	1.45051572
3	0.4546875	1.413974017
4	0.4559375	1.375692392
5	0.46515625	1.355167568
6	0.46671875	1.329173832
7	0.46703125	1.300622973
8	0.46875	1.275128683
9	0.47421875	1.25028961
10	0.4715625	1.236063895
11	0.47734375	1.225191998
12	0.46796875	1.212347403
13	0.47109375	1.202662236
14	0.4725	1.193508826
15	0.47671875	1.181520825
16	0.47578125	1.170463759
17	0.4759375	1.158080369
18	0.47671875	1.14977862
19	0.47984375	1.142070918
20	0.483125	1.137007087
21	0.4821875	1.131500402
22	0.48296875	1.124962853
23	0.48359375	1.120926064
24	0.48703125	1.114533765
25	0.48875	1.111203769
26	0.4903125	1.10897657
27	0.49375	1.098985254
28	0.49390625	1.096874244
29	0.49296875	1.093767064
30	0.49453125	1.090618858
31	0.4953125	1.085859166
32	0.49421875	1.081720609
33	0.49359375	1.076781412
34	0.4953125	1.07392309
35	0.49546875	1.071435402
36	0.4978125	1.067210255
37	0.50046875	1.063608834
38	0.50234375	1.060946353
39	0.50390625	1.058201214
40	0.50421875	1.053418225
41	0.5053125	1.051614241
42	0.50703125	1.046191731
43	0.50796875	1.044798862
44	0.51296875	1.042535254
45	0.51265625	1.040885897
46	0.5165625	1.038948991
47	0.5171875	1.036970328
48	0.5178125	1.035452408
49	0.52078125	1.034187055
50	0.5228125	1.031801467
