iter	Passed	Remaining
0	149	44768
1	158	23569
2	167	16610
3	176	13079
4	185	10920
5	195	9567
6	204	8543
7	213	7797
8	223	7214
9	231	6717
10	241	6342
11	250	6015
12	259	5733
13	269	5501
14	277	5278
15	286	5086
16	297	4944
17	306	4800
18	316	4678
19	326	4569
20	335	4458
21	345	4364
22	354	4268
23	364	4187
24	372	4100
25	381	4024
26	391	3958
27	400	3894
28	409	3829
29	418	3770
30	427	3709
31	436	3651
32	446	3611
33	454	3556
34	463	3510
35	474	3476
36	482	3428
37	492	3392
38	500	3349
39	509	3313
40	519	3280
41	528	3247
42	537	3212
43	547	3186
44	556	3154
45	565	3122
46	574	3095
47	583	3061
48	591	3030
49	601	3005
50	609	2977
