query_id,doctor_id,rating,total_reviews,experience_years,consultation_fee,distance_km,is_available,accepts_insurance,hospital_type_encoded,avg_consultation_minutes,fee_within_budget,relevance
0,DOC0002,4.2,304,25,150,7.65,1,1,0,18,1,9
0,DOC0018,3.9,163,9,200,5.17,1,1,0,16,1,9
0,DOC0041,4.4,581,22,550,11.14,1,0,1,13,0,7
0,DOC0055,4.1,757,20,350,5.41,1,1,1,25,1,9
0,DOC0071,4.2,314,23,450,10.78,1,1,1,23,1,9
0,DOC0081,4.4,314,17,200,7.8,1,1,2,13,1,9
0,DOC0105,3.5,165,3,100,4.17,1,0,0,8,1,7
0,DOC0117,4.0,681,6,550,12.48,1,1,1,15,0,6
0,DOC0126,3.4,481,5,600,13.05,1,1,1,8,0,4
1,DOC0005,4.5,706,23,350,12.9,1,0,0,10,1,9
1,DOC0020,3.6,485,3,250,2.86,1,0,0,25,1,9
1,DOC0042,4.0,661,27,950,11.51,1,0,1,22,1,9
1,DOC0059,4.4,300,14,800,6.72,0,1,1,9,1,9
1,DOC0072,4.5,584,25,800,13.18,0,1,1,21,1,9
1,DOC0084,4.0,244,22,550,2.33,1,1,2,16,1,9
1,DOC0111,3.6,100,30,800,14.91,1,1,1,17,1,9
1,DOC0122,3.8,205,15,800,13.42,1,1,1,13,1,9
1,DOC0143,4.8,748,25,750,6.08,1,0,1,13,1,9
2,DOC0014,4.0,151,27,300,5.99,1,1,0,25,1,9
2,DOC0045,3.7,637,30,1000,10.97,1,1,1,23,1,9
2,DOC0051,3.8,399,28,900,7.45,0,1,1,18,1,9
2,DOC0062,3.8,644,21,900,9.47,1,0,1,11,1,9
2,DOC0114,4.4,500,7,850,11.03,1,0,1,17,1,8
2,DOC0145,3.8,608,15,950,3.49,0,1,1,18,1,9
3,DOC0012,4.6,176,29,300,10.49,1,1,0,13,0,8
3,DOC0029,3.6,150,4,350,4.12,0,0,0,19,0,3
3,DOC0040,3.9,144,4,900,6.98,1,1,1,22,0,5
3,DOC0056,4.0,434,5,800,9.39,1,1,1,17,0,6
3,DOC0074,4.1,91,9,1000,7.06,1,0,1,21,0,5
3,DOC0076,3.7,470,13,550,8.61,0,1,2,22,0,5
3,DOC0101,3.9,776,5,150,3.18,1,1,0,12,1,8
3,DOC0135,4.2,279,32,850,8.89,0,1,1,14,0,7
3,DOC0142,4.2,95,9,800,5.75,1,1,1,22,0,7
4,DOC0002,4.2,304,25,150,11.88,1,1,0,18,1,9
4,DOC0018,3.9,163,9,200,4.88,1,1,0,16,1,9
4,DOC0041,4.4,581,22,550,5.23,1,0,1,13,1,9
4,DOC0055,4.1,757,20,350,11.13,1,1,1,25,1,9
4,DOC0071,4.2,314,23,450,5.63,1,1,1,23,1,9
4,DOC0081,4.4,314,17,200,9.55,1,1,2,13,1,9
4,DOC0105,3.5,165,3,100,4.23,1,0,0,8,1,7
4,DOC0117,4.0,681,6,550,7.37,1,1,1,15,1,9
4,DOC0126,3.4,481,5,600,7.13,1,1,1,8,1,7
5,DOC0011,4.6,484,27,300,9.87,0,1,0,16,1,9
5,DOC0028,3.7,584,8,350,4.96,1,0,0,25,1,9
5,DOC0037,4.4,773,24,800,7.21,1,1,1,10,1,9
5,DOC0046,3.9,408,8,750,9.51,1,1,1,22,1,9
5,DOC0065,4.6,629,29,800,6.73,1,1,1,17,1,9
5,DOC0078,4.3,652,30,500,9.36,0,1,2,17,1,9
5,DOC0095,3.9,351,7,150,3.97,0,1,0,16,1,8
5,DOC0113,4.1,525,7,950,8.46,1,1,1,22,1,9
5,DOC0148,4.5,649,7,900,5.68,1,1,1,24,1,9
6,DOC0015,4.3,707,32,300,13.27,1,0,0,22,1,9
6,DOC0027,3.5,72,9,300,2.26,0,0,0,21,1,8
6,DOC0033,4.2,640,22,850,10.84,1,0,1,11,1,9
6,DOC0080,3.8,644,8,400,2.5,1,0,2,15,1,9
6,DOC0104,3.6,643,30,300,2.93,1,0,0,16,1,9
6,DOC0124,3.3,534,27,800,12.73,1,0,1,13,1,7
6,DOC0140,4.3,607,14,850,6.48,0,1,1,19,1,9
7,DOC0075,4.3,515,29,900,9.93,1,1,1,25,1,9
7,DOC0094,4.0,303,28,400,1.04,1,0,0,12,1,9
7,DOC0120,3.8,152,23,950,11.68,1,1,1,10,1,8
7,DOC0121,3.4,776,12,950,11.05,1,1,1,9,1,7
8,DOC0075,4.3,515,29,900,9.94,1,1,1,25,0,8
8,DOC0094,4.0,303,28,400,6.59,1,0,0,12,0,8
8,DOC0120,3.8,152,23,950,11.47,1,1,1,10,0,6
8,DOC0121,3.4,776,12,950,13.25,1,1,1,9,0,5
9,DOC0009,4.5,132,7,300,10.51,1,1,0,13,1,9
9,DOC0017,3.4,766,24,250,8.17,0,1,0,11,1,8
9,DOC0032,4.6,138,13,1000,6.53,1,1,1,16,0,8
9,DOC0047,3.5,73,11,950,12.44,1,0,1,19,0,4
9,DOC0069,3.9,798,25,900,4.02,1,0,1,22,0,7
9,DOC0086,4.2,563,7,550,12.73,1,1,2,16,1,8
9,DOC0098,3.8,87,13,300,7.3,0,1,0,25,1,7
9,DOC0107,3.6,245,6,800,5.58,1,1,1,9,1,8
9,DOC0133,3.9,360,26,900,7.93,0,1,1,19,0,6
9,DOC0136,4.3,764,11,950,8.41,1,1,1,21,0,7
10,DOC0007,4.4,600,28,250,15.71,1,1,0,18,1,9
10,DOC0023,3.9,753,5,250,7.04,1,1,0,16,1,8
10,DOC0038,3.5,708,29,1000,1.62,1,0,1,14,1,9
10,DOC0070,3.8,693,30,900,5.02,1,0,1,22,1,9
10,DOC0083,4.5,425,12,550,11.35,1,1,2,9,1,9
10,DOC0099,4.2,690,19,300,6.96,1,1,0,25,1,9
10,DOC0109,4.4,63,19,900,6.31,1,1,1,22,1,9
10,DOC0125,3.7,147,30,850,3.56,1,1,1,13,1,9
10,DOC0139,4.4,680,7,950,11.32,1,1,1,20,1,9
11,DOC0003,4.4,407,22,200,9.4,0,1,0,17,1,9
11,DOC0035,4.0,587,19,850,8.8,0,1,1,21,0,7
11,DOC0054,4.2,206,3,900,7.52,1,0,1,19,0,5
11,DOC0061,3.7,251,10,800,8.83,1,0,1,20,0,5
11,DOC0100,4.1,445,29,250,2.62,1,1,0,18,0,9
11,DOC0137,4.2,456,13,900,3.95,1,0,1,22,0,7
12,DOC0006,4.6,675,17,450,14.47,1,1,0,15,1,9
12,DOC0016,3.4,239,10,400,12.89,1,1,0,23,1,8
12,DOC0036,4.6,331,12,1650,7.19,1,1,1,21,1,9
12,DOC0052,4.3,744,23,1800,17.7,1,0,1,13,1,8
12,DOC0064,4.4,290,5,1700,2.85,1,1,1,14,1,9
12,DOC0087,4.0,97,26,950,17.55,0,1,2,15,1,8
12,DOC0102,3.9,382,24,400,12.19,1,1,0,21,1,9
12,DOC0118,3.9,416,14,1800,2.11,1,0,1,18,1,9
12,DOC0123,3.8,259,17,1700,7.27,1,1,1,17,1,9
12,DOC0147,4.4,746,19,1600,13.66,1,0,1,24,1,9
13,DOC0075,4.3,515,29,900,11.04,1,1,1,25,0,8
13,DOC0094,4.0,303,28,400,1.18,1,0,0,12,1,9
13,DOC0120,3.8,152,23,950,12.79,1,1,1,10,0,6
13,DOC0121,3.4,776,12,950,11.59,1,1,1,9,0,5
14,DOC0006,4.6,675,17,450,0.95,1,1,0,15,1,9
14,DOC0016,3.4,239,10,400,13.72,1,1,0,23,1,7
14,DOC0036,4.6,331,12,1650,17.41,1,1,1,21,0,7
14,DOC0052,4.3,744,23,1800,9.43,1,0,1,13,0,7
14,DOC0064,4.4,290,5,1700,14.91,1,1,1,14,0,6
14,DOC0087,4.0,97,26,950,15.91,0,1,2,15,0,5
14,DOC0102,3.9,382,24,400,12.67,1,1,0,21,1,9
14,DOC0118,3.9,416,14,1800,16.1,1,0,1,18,0,4
14,DOC0123,3.8,259,17,1700,18.99,1,1,1,17,0,6
14,DOC0147,4.4,746,19,1600,7.78,1,0,1,24,0,7
15,DOC0001,4.0,738,19,400,14.73,1,0,0,15,1,9
15,DOC0026,3.8,138,31,300,1.94,1,0,0,25,1,9
15,DOC0043,4.3,743,5,1200,8.37,1,1,1,21,1,9
15,DOC0060,4.0,607,6,1350,10.1,1,0,1,23,1,8
15,DOC0063,4.3,725,10,1200,10.92,1,0,1,17,1,9
15,DOC0091,4.1,474,22,350,2.99,1,1,0,15,1,9
15,DOC0130,3.6,667,22,1300,10.16,1,1,1,15,1,9
15,DOC0138,4.7,96,11,1300,8.28,1,1,1,20,1,9
16,DOC0002,4.2,304,25,150,21.08,1,1,0,18,1,9
16,DOC0018,3.9,163,9,200,8.34,1,1,0,16,1,8
16,DOC0041,4.4,581,22,550,11.78,1,0,1,13,1,9
16,DOC0055,4.1,757,20,350,15.25,1,1,1,25,1,9
16,DOC0071,4.2,314,23,450,15.64,1,1,1,23,1,9
16,DOC0081,4.4,314,17,200,7.49,1,1,2,13,1,9
16,DOC0105,3.5,165,3,100,9.43,1,0,0,8,1,6
16,DOC0117,4.0,681,6,550,16.97,1,1,1,15,1,8
16,DOC0126,3.4,481,5,600,12.92,1,1,1,8,1,7
17,DOC0002,4.2,304,25,150,5.76,1,1,0,18,1,9
17,DOC0018,3.9,163,9,200,8.95,1,1,0,16,1,8
17,DOC0041,4.4,581,22,550,15.53,1,0,1,13,1,8
17,DOC0055,4.1,757,20,350,2.84,1,1,1,25,1,9
17,DOC0071,4.2,314,23,450,14.76,1,1,1,23,1,9
17,DOC0081,4.4,314,17,200,9.77,1,1,2,13,1,9
17,DOC0105,3.5,165,3,100,8.17,1,0,0,8,1,6
17,DOC0117,4.0,681,6,550,16.38,1,1,1,15,1,7
17,DOC0126,3.4,481,5,600,17.43,1,1,1,8,1,5
18,DOC0030,3.6,655,14,350,6.54,1,1,0,15,1,9
18,DOC0048,4.1,656,10,800,13.97,1,0,1,12,1,8
18,DOC0073,3.6,541,23,950,13.75,1,0,1,21,1,8
18,DOC0085,3.8,613,31,500,6.58,1,1,2,12,1,9
18,DOC0092,3.9,214,4,250,7.6,1,0,0,22,1,7
18,DOC0115,4.4,98,17,850,15.13,1,1,1,10,1,8
18,DOC0128,3.9,479,27,950,11.3,1,0,1,10,1,8
19,DOC0002,4.2,304,25,150,21.34,1,1,0,18,1,9
19,DOC0018,3.9,163,9,200,8.75,1,1,0,16,1,8
19,DOC0041,4.4,581,22,550,9.15,1,0,1,13,1,9
19,DOC0055,4.1,757,20,350,16.8,1,1,1,25,1,9
19,DOC0071,4.2,314,23,450,13.4,1,1,1,23,1,9
19,DOC0081,4.4,314,17,200,9.73,1,1,2,13,1,9
19,DOC0105,3.5,165,3,100,9.68,1,0,0,8,1,6
19,DOC0117,4.0,681,6,550,14.5,1,1,1,15,1,9
19,DOC0126,3.4,481,5,600,9.94,1,1,1,8,1,7
20,DOC0009,4.5,132,7,300,5.24,1,1,0,13,1,9
20,DOC0017,3.4,766,24,250,10.21,0,1,0,11,1,8
20,DOC0032,4.6,138,13,1000,16.65,1,1,1,16,0,6
20,DOC0047,3.5,73,11,950,3.47,1,0,1,19,0,5
20,DOC0069,3.9,798,25,900,15.68,1,0,1,22,0,5
20,DOC0086,4.2,563,7,550,10.91,1,1,2,16,1,8
20,DOC0098,3.8,87,13,300,9.42,0,1,0,25,1,7
20,DOC0107,3.6,245,6,800,17.26,1,1,1,9,1,6
20,DOC0133,3.9,360,26,900,18.53,0,1,1,19,0,5
20,DOC0136,4.3,764,11,950,4.04,1,1,1,21,0,8
21,DOC0012,4.6,176,29,300,9.03,1,1,0,13,1,9
21,DOC0029,3.6,150,4,350,11.67,0,0,0,19,1,4
21,DOC0040,3.9,144,4,900,10.13,1,1,1,22,0,4
21,DOC0056,4.0,434,5,800,13.77,1,1,1,17,0,6
21,DOC0074,4.1,91,9,1000,6.35,1,0,1,21,0,6
21,DOC0076,3.7,470,13,550,15.94,0,1,2,22,0,4
21,DOC0101,3.9,776,5,150,10.66,1,1,0,12,1,8
21,DOC0135,4.2,279,32,850,11.15,0,1,1,14,0,7
21,DOC0142,4.2,95,9,800,9.84,1,1,1,22,0,6
22,DOC0015,4.3,707,32,300,20.54,1,0,0,22,1,9
22,DOC0027,3.5,72,9,300,7.85,0,0,0,21,1,6
22,DOC0033,4.2,640,22,850,11.85,1,0,1,11,1,9
22,DOC0080,3.8,644,8,400,6.78,1,0,2,15,1,9
22,DOC0104,3.6,643,30,300,8.96,1,0,0,16,1,9
22,DOC0124,3.3,534,27,800,13.08,1,0,1,13,1,8
22,DOC0140,4.3,607,14,850,13.84,0,1,1,19,1,9
23,DOC0013,4.8,334,3,200,7.29,1,0,0,15,1,8
23,DOC0024,3.6,29,32,350,8.57,1,0,0,11,0,5
23,DOC0057,3.8,333,16,950,1.29,1,0,1,11,0,8
23,DOC0079,4.0,77,17,400,8.69,1,0,2,19,0,6
23,DOC0119,3.6,278,5,850,17.15,1,1,1,12,0,4
