date,hospital,hour_of_day,day_of_week,is_weekend,is_monday,month,patients_in_queue,avg_consultation_minutes,actual_wait_minutes,queue_position,doctor_experience_years,doctor_specialization_encoded
2024-01-01,AIIMS Bhopal,9,0,0,1,1,14,14.12,176.16,7,18,14
2024-01-01,AIIMS Bhopal,10,0,0,1,1,24,13.8,362.43,23,13,11
2024-01-01,AIIMS Bhopal,11,0,0,1,1,36,17.62,723.75,36,6,10
2024-01-01,AIIMS Bhopal,12,0,0,1,1,21,11.91,258.45,8,7,3
2024-01-01,AIIMS Bhopal,13,0,0,1,1,8,14.02,133.5,7,10,5
2024-01-01,AIIMS Bhopal,14,0,0,1,1,17,20.85,308.59,7,27,5
2024-01-01,AIIMS Bhopal,15,0,0,1,1,32,19.48,619.97,20,18,0
2024-01-01,AIIMS Bhopal,16,0,0,1,1,18,19.47,322.37,8,9,18
2024-01-01,AIIMS Bhopal,17,0,0,1,1,26,18.1,493.65,20,29,15
2024-01-01,Hamidia Hospital,9,0,0,1,1,23,7.45,156.21,14,7,8
2024-01-01,Hamidia Hospital,10,0,0,1,1,33,15.33,409.73,26,4,18
2024-01-01,Hamidia Hospital,11,0,0,1,1,45,16.73,932.56,5,15,16
2024-01-01,Hamidia Hospital,12,0,0,1,1,30,15.29,384.76,20,24,19
2024-01-01,Hamidia Hospital,13,0,0,1,1,10,16.25,173.05,6,28,10
2024-01-01,Hamidia Hospital,14,0,0,1,1,24,21.22,445.37,7,22,16
2024-01-01,Hamidia Hospital,15,0,0,1,1,28,13.78,385.88,5,25,10
2024-01-01,Hamidia Hospital,16,0,0,1,1,41,12.75,515.35,33,7,10
2024-01-01,Hamidia Hospital,17,0,0,1,1,25,21.39,813.26,24,29,9
2024-01-01,Bansal Hospital,9,0,0,1,1,25,10.23,252.92,16,25,18
2024-01-01,Bansal Hospital,10,0,0,1,1,29,14.28,416.4,11,24,3
2024-01-01,Bansal Hospital,11,0,0,1,1,37,8.82,267.98,2,22,15
2024-01-01,Bansal Hospital,12,0,0,1,1,22,21.84,446.02,19,21,7
2024-01-01,Bansal Hospital,13,0,0,1,1,8,12.88,96.75,7,7,7
2024-01-01,Bansal Hospital,14,0,0,1,1,8,9.42,65.08,4,3,14
2024-01-01,Bansal Hospital,15,0,0,1,1,25,11.4,313.67,7,16,16
2024-01-01,Bansal Hospital,16,0,0,1,1,41,19.55,614.11,4,25,4
2024-01-01,Bansal Hospital,17,0,0,1,1,33,15.94,615.95,31,19,12
2024-01-01,Chirayu Medical College,9,0,0,1,1,25,19.27,453.13,18,13,17
2024-01-01,Chirayu Medical College,10,0,0,1,1,33,11.39,240.73,17,22,15
2024-01-01,Chirayu Medical College,11,0,0,1,1,24,18.12,416.24,10,10,9
2024-01-01,Chirayu Medical College,12,0,0,1,1,23,13.29,215.77,16,13,15
2024-01-01,Chirayu Medical College,13,0,0,1,1,18,6.33,94.17,9,12,3
2024-01-01,Chirayu Medical College,14,0,0,1,1,24,6.85,227.56,12,27,4
2024-01-01,Chirayu Medical College,15,0,0,1,1,23,24.63,640.2,3,14,14
2024-01-01,Chirayu Medical College,16,0,0,1,1,28,14.95,360.6,27,20,8
2024-01-01,Chirayu Medical College,17,0,0,1,1,35,14.28,448.52,16,10,1
2024-01-01,People's Hospital,9,0,0,1,1,33,15.44,582.98,7,16,10
2024-01-01,People's Hospital,10,0,0,1,1,41,20.54,1012.89,1,20,5
2024-01-01,People's Hospital,11,0,0,1,1,37,10.27,251.67,31,18,6
2024-01-01,People's Hospital,12,0,0,1,1,23,12.51,362.43,3,23,18
2024-01-01,People's Hospital,13,0,0,1,1,14,8.75,113.84,1,8,13
2024-01-01,People's Hospital,14,0,0,1,1,12,16.0,187.74,7,28,15
2024-01-01,People's Hospital,15,0,0,1,1,18,24.43,352.51,10,4,0
2024-01-01,People's Hospital,16,0,0,1,1,29,13.27,369.51,11,12,14
2024-01-01,People's Hospital,17,0,0,1,1,35,6.71,219.73,9,30,16
2024-01-01,Bhopal Memorial Hospital,9,0,0,1,1,30,13.96,569.58,11,8,14
2024-01-01,Bhopal Memorial Hospital,10,0,0,1,1,28,14.87,402.55,11,28,9
2024-01-01,Bhopal Memorial Hospital,11,0,0,1,1,24,18.55,601.81,13,29,13
2024-01-01,Bhopal Memorial Hospital,12,0,0,1,1,33,13.1,509.37,7,8,4
2024-01-01,Bhopal Memorial Hospital,13,0,0,1,1,22,13.65,340.95,9,15,7
2024-01-01,Bhopal Memorial Hospital,14,0,0,1,1,21,15.23,161.16,10,21,18
2024-01-01,Bhopal Memorial Hospital,15,0,0,1,1,11,14.73,192.49,4,4,3
2024-01-01,Bhopal Memorial Hospital,16,0,0,1,1,39,13.57,630.59,33,25,9
2024-01-01,Bhopal Memorial Hospital,17,0,0,1,1,15,8.88,84.76,6,22,7
2024-01-02,AIIMS Bhopal,9,1,0,0,1,15,19.4,273.42,8,26,19
2024-01-02,AIIMS Bhopal,10,1,0,0,1,24,10.64,287.89,16,27,17
2024-01-02,AIIMS Bhopal,11,1,0,0,1,18,15.45,194.33,3,19,14
2024-01-02,AIIMS Bhopal,12,1,0,0,1,24,14.54,321.95,19,6,1
2024-01-02,AIIMS Bhopal,13,1,0,0,1,17,17.2,269.93,5,8,10
2024-01-02,AIIMS Bhopal,14,1,0,0,1,16,9.36,165.89,16,5,16
2024-01-02,AIIMS Bhopal,15,1,0,0,1,22,16.58,290.05,17,16,14
2024-01-02,AIIMS Bhopal,16,1,0,0,1,11,9.42,92.48,5,26,0
2024-01-02,AIIMS Bhopal,17,1,0,0,1,20,14.99,304.48,7,21,2
2024-01-02,Hamidia Hospital,9,1,0,0,1,9,9.49,97.64,9,4,2
2024-01-02,Hamidia Hospital,10,1,0,0,1,29,19.02,574.0,25,7,13
2024-01-02,Hamidia Hospital,11,1,0,0,1,24,18.92,450.16,13,15,2
